,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,CENTRAL INDEX KEY,FISCAL YEAR END
2440,0000046080-20-000028,10-K,20191229,20200227,20200227,"HASBRO, INC.",0000046080,1229
2441,0000047111-20-000007,10-K,20191231,20200220,20200220,HERSHEY CO,0000047111,1231
2442,0000047217-20-000045,10-K,20201031,20201210,20201210,HP INC,0000047217,1031
2443,0000048465-20-000043,10-K,20201025,20201204,20201204,HORMEL FOODS CORP /DE/,0000048465,1025
2444,0000049196-20-000010,10-K,20191231,20200214,20200214,HUNTINGTON BANCSHARES INC/MD,0000049196,1231
2445,0000052988-20-000070,10-K,20201002,20201124,20201124,JACOBS ENGINEERING GROUP INC /DE/,0000052988,1002
2446,0001193125-20-031657,10-K,20191231,20200212,20200211,LOEWS CORP,0000060086,1231
2447,0000060667-20-000036,10-K,20200131,20200323,20200323,LOWES COMPANIES INC,0000060667,0131
2448,0000062709-20-000010,10-K,20191231,20200220,20200220,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,1231
2449,0000064803-20-000007,10-K,20191231,20200218,20200218,CVS HEALTH Corp,0000064803,1231
2450,0001558370-20-000581,10-K,20191231,20200206,20200206,3M CO,0000066740,1231
2451,0000068505-20-000006,10-K,20191231,20200214,20200213,"Motorola Solutions, Inc.",0000068505,1231
2452,0000072741-20-000008,10-K,20191231,20200227,20200226,EVERSOURCE ENERGY,0000072741,1231
2453,0001564590-20-007794,10-K,20191231,20200228,20200228,NUCOR CORP,0000073309,1231
2454,0000074208-20-000031,10-K,20191231,20200218,20200218,"UDR, Inc.",0000074208,1231
2455,0000078003-20-000014,10-K,20191231,20200227,20200227,PFIZER INC,0000078003,1231
2456,0000079879-20-000008,10-K,20191231,20200220,20200220,PPG INDUSTRIES INC,0000079879,1231
2457,0000080424-20-000053,10-K,20200630,20200806,20200806,PROCTER & GAMBLE Co,0000080424,0630
2458,0000080424-20-000059,10-K/A,20200630,20200807,20200807,PROCTER & GAMBLE Co,0000080424,0630
2459,0001171200-20-000103,10-K,20191231,20200228,20200228,ROLLINS INC,0000084839,1231
2460,0000091419-20-000065,10-K,20200430,20200619,20200619,J M SMUCKER Co,0000091419,0430
2461,0000092380-20-000024,10-K,20191231,20200204,20200203,SOUTHWEST AIRLINES CO,0000092380,1231
2462,0000096021-20-000100,10-K,20200627,20200826,20200825,SYSCO CORP,0000096021,0627
2463,0001193125-20-058676,10-K,20191231,20200302,20200302,"TERADYNE, INC",0000097210,1231
2464,0000101778-20-000023,10-K,20191231,20200220,20200220,MARATHON OIL CORP,0000101778,1231
2465,0000106040-20-000049,10-K,20200703,20200828,20200827,WESTERN DIGITAL CORP,0000106040,0703
2466,0000107263-20-000005,10-K,20191231,20200224,20200224,"WILLIAMS COMPANIES, INC.",0000107263,1231
2467,0000200406-20-000010,10-K,20191229,20200218,20200218,JOHNSON & JOHNSON,0000200406,1229
2468,0000202058-20-000011,10-KT,20200103,20200303,20200303,"L3HARRIS TECHNOLOGIES, INC. /DE/",0000202058,0103
2469,0001104659-20-024773,10-K,20200104,20200225,20200225,TEXTRON INC,0000217346,0104
2470,0000277135-20-000007,10-K,20191231,20200220,20200220,"W.W. GRAINGER, INC.",0000277135,1231
2471,0000277948-20-000008,10-K,20191231,20200212,20200212,CSX CORP,0000277948,1231
2472,0000310158-20-000005,10-K,20191231,20200226,20200226,"Merck & Co., Inc.",0000310158,1231
2473,0000315213-20-000029,10-K,20191231,20200214,20200214,ROBERT HALF INTERNATIONAL INC.,0000315213,1231
2474,0001628280-20-001607,10-K,20191231,20200214,20200214,Aon plc,0000315293,1231
2475,0000316709-20-000012,10-K,20191231,20200226,20200226,SCHWAB CHARLES CORP,0000316709,1231
2476,0000320193-20-000096,10-K,20200926,20201030,20201029,Apple Inc.,0000320193,0926
2477,0001193125-20-028191,10-K,20191231,20200207,20200207,ARTHUR J. GALLAGHER & CO.,0000354190,1231
2478,0000354950-20-000015,10-K,20200202,20200325,20200325,"HOME DEPOT, INC.",0000354950,0202
2479,0000707549-20-000138,10-K,20200628,20200818,20200818,LAM RESEARCH CORP,0000707549,0628
2480,0000711404-20-000042,10-K,20201031,20201211,20201211,"COOPER COMPANIES, INC.",0000711404,1031
2481,0000712515-20-000019,10-K,20200331,20200520,20200520,ELECTRONIC ARTS INC.,0000712515,0331
2482,0000723254-20-000025,10-K,20200531,20200729,20200729,CINTAS CORP,0000723254,0531
2483,0000723531-20-000048,10-K,20200531,20200717,20200717,PAYCHEX INC,0000723531,0531
2484,0000726728-20-000033,10-K,20191231,20200224,20200224,REALTY INCOME CORP,0000726728,1231
2485,0000740260-20-000042,10-K,20191231,20200224,20200221,"Ventas, Inc.",0000740260,1231
2486,0001564590-20-005719,10-K,20191231,20200221,20200221,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,0000746515,1231
2487,0000764478-20-000017,10-K,20200201,20200323,20200323,BEST BUY CO INC,0000764478,0201
2488,0000769397-20-000013,10-K,20200131,20200319,20200319,"Autodesk, Inc.",0000769397,0131
2489,0000788784-20-000004,10-K,20191231,20200226,20200226,PUBLIC SERVICE ENTERPRISE GROUP INC,0000788784,1231
2490,0001564590-20-034944,10-K,20200630,20200730,20200917,MICROSOFT CORP,0000789019,0630
2491,0001728949-20-000067,10-K,20200927,20201104,20201104,QUALCOMM INC/DE,0000804328,0927
2492,0000811156-20-000004,10-K,20191231,20200206,20200206,CMS ENERGY CORP,0000811156,1231
2493,0000813672-20-000007,10-K,20191228,20200224,20200224,CADENCE DESIGN SYSTEMS INC,0000813672,1228
2494,0000813828-20-000013,10-K,20191231,20200220,20200220,ViacomCBS Inc.,0000813828,1231
2495,0000814547-20-000012,10-K,20200930,20201112,20201110,FAIR ISAAC CORP,0000814547,0930
2496,0000818479-20-000006,10-K,20191231,20200302,20200302,DENTSPLY SIRONA Inc.,0000818479,1231
2497,0000820027-20-000010,10-K,20191231,20200226,20200226,AMERIPRISE FINANCIAL INC,0000820027,1231
2498,0001558370-20-000728,10-K,20191231,20200212,20200212,AMPHENOL CORP /DE/,0000820313,1231
2499,0001558370-20-000762,10-K,20191231,20200213,20200213,WASTE MANAGEMENT INC,0000823768,1231
2500,0000827054-20-000119,10-K,20200331,20200522,20200521,MICROCHIP TECHNOLOGY INC,0000827054,0331
2501,0000829224-20-000078,10-K,20200927,20201112,20201112,STARBUCKS CORP,0000829224,0927
2502,0000832101-20-000007,10-K,20191231,20200221,20200221,IDEX CORP /DE/,0000832101,1231
2503,0000851968-20-000020,10-K,20191231,20200228,20200228,MOHAWK INDUSTRIES INC,0000851968,1231
2504,0000858470-20-000012,10-K,20191231,20200225,20200225,CABOT OIL & GAS CORP,0000858470,1231
2505,0000859737-20-000039,10-K,20200926,20201117,20201117,HOLOGIC INC,0000859737,0928
2506,0001193125-20-043524,10-K,20191231,20200220,20200220,"HCA Healthcare, Inc.",0000860730,1231
2507,0000864749-20-000029,10-K,20200103,20200228,20200228,TRIMBLE INC.,0000864749,0103
2508,0001104659-20-027209,10-K,20191231,20200228,20200228,Monster Beverage Corp,0000865752,1231
2509,0001558370-20-011748,10-K,20200829,20201026,20201026,AUTOZONE INC,0000866787,0829
2510,0001532176-20-000008,10-K,20191231,20200207,20200207,"REGENERON PHARMACEUTICALS, INC.",0000872589,1231
2511,0000874716-20-000006,10-K,20191231,20200214,20200214,IDEXX LABORATORIES INC /DE,0000874716,1231
2512,0000874761-20-000012,10-K,20191231,20200228,20200227,AES CORP,0000874761,1231
2513,0000875045-20-000005,10-K,20191231,20200206,20200206,BIOGEN INC.,0000875045,1231
2514,0000877212-20-000006,10-K,20191231,20200213,20200213,ZEBRA TECHNOLOGIES CORP,0000877212,1231
2515,0001437749-20-003500,10-K,20191231,20200225,20200225,KIMCO REALTY CORP,0000879101,1231
2516,0001558370-20-000774,10-K,20191231,20200213,20200213,INCYTE CORP,0000879169,1231
2517,0000882184-20-000143,10-K,20200930,20201120,20201119,HORTON D R INC /DE/,0000882184,0930
2518,0000883241-20-000015,10-K,20201031,20201215,20201214,SYNOPSYS INC,0000883241,1031
2519,0000884887-20-000009,10-K,20191231,20200225,20200225,ROYAL CARIBBEAN CRUISES LTD,0000884887,1231
2520,0000891103-20-000004,10-K,20191231,20200228,20200227,IAC/INTERACTIVECORP,0000891103,1231
2521,0000898173-20-000007,10-K,20191231,20200228,20200228,O REILLY AUTOMOTIVE INC,0000898173,1231
2522,0001193125-20-274411,10-K,20200831,20201022,20201022,JABIL INC,0000898293,0831
2523,0000900075-20-000021,10-K,20200731,20200928,20200928,COPART INC,0000900075,0731
2524,0001564590-20-005562,10-K,20191231,20200220,20200220,EQUITY RESIDENTIAL,0000906107,1231
2525,0000906163-20-000026,10-K,20191231,20200219,20200219,NVR INC,0000906163,1231
2526,0000906345-20-000008,10-K,20191231,20200220,20200220,CAMDEN PROPERTY TRUST,0000906345,1231
2527,0000909832-20-000017,10-K,20200830,20201007,20201006,COSTCO WHOLESALE CORP /NEW,0000909832,0901
2528,0001564590-20-004859,10-K,20191231,20200218,20200214,REGENCY CENTERS CORP,0000910606,1231
2529,0001564590-20-005582,10-K,20191231,20200220,20200220,MID AMERICA APARTMENT COMMUNITIES INC.,0000912595,1231
2530,0000914208-20-000245,10-K,20191231,20200302,20200302,Invesco Ltd.,0000914208,1231
2531,0000915913-20-000040,10-K,20191231,20200226,20200226,ALBEMARLE CORP,0000915913,1231
2532,0001564590-20-005784,10-K,20191231,20200221,20200221,MARTIN MARIETTA MATERIALS INC,0000916076,1231
2533,0000916365-20-000050,10-K,20191228,20200220,20200220,TRACTOR SUPPLY CO /DE/,0000916365,1228
2534,0000920148-20-000011,10-K,20191231,20200228,20200228,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
2535,0000920522-20-000026,10-K,20191231,20200220,20200220,"ESSEX PROPERTY TRUST, INC.",0000920522,1231
2536,0001628280-20-000559,10-K,20191130,20200127,20200127,LENNAR CORP /NEW/,0000920760,1130
2537,0000927066-20-000014,10-K,20191231,20200221,20200221,DAVITA INC.,0000927066,1231
2538,0000927628-20-000102,10-K,20191231,20200220,20200220,CAPITAL ONE FINANCIAL CORP,0000927628,1231
2539,0000935703-20-000006,10-K,20200201,20200320,20200320,"DOLLAR TREE, INC.",0000935703,0201
2540,0000936340-20-000127,10-K,20191231,20200205,20200205,DTE ENERGY CO,0000936340,1231
2541,0000940944-20-000046,10-K,20200531,20200724,20200724,DARDEN RESTAURANTS INC,0000940944,0531
2542,0001628280-20-002098,10-K,20191231,20200224,20200224,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,1231
2543,0000943819-20-000013,10-K,20200630,20200813,20200812,RESMED INC,0000943819,0630
2544,0000945841-20-000041,10-K,20191231,20200227,20200227,POOL CORP,0000945841,1231
2545,0001628280-20-008291,10-K,20200331,20200522,20200522,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,0331
2546,0001193125-20-048303,10-K,20191231,20200225,20200225,WATERS CORP /DE/,0001000697,1231
2547,0001001250-20-000065,10-K,20200630,20200828,20200828,ESTEE LAUDER COMPANIES INC,0001001250,0630
2548,0001004980-20-000009,10-K,20191231,20200218,20200218,PG&E Corp,0001004980,1231
2549,0001013871-20-000013,10-K,20191231,20200227,20200227,"NRG ENERGY, INC.",0001013871,1231
2550,0001018724-20-000004,10-K,20191231,20200131,20200130,AMAZON COM INC,0001018724,1231
2551,0001020569-20-000029,10-K,20191231,20200213,20200213,IRON MOUNTAIN INC,0001020569,1231
2552,0001031296-20-000008,10-K,20191231,20200210,20200210,FIRSTENERGY CORP,0001031296,1231
2553,0001035267-20-000032,10-K,20191231,20200207,20200207,INTUITIVE SURGICAL INC,0001035267,1231
2554,0001656423-20-000007,10-K,20191231,20200302,20200302,BOSTON PROPERTIES INC,0001037540,1231
2555,0001037646-20-000005,10-K,20191231,20200207,20200207,METTLER TOLEDO INTERNATIONAL INC/,0001037646,1231
2556,0001193125-20-043133,10-K,20191231,20200220,20200220,AMETEK INC/,0001037868,1231
2557,0001038357-20-000009,10-K,20191231,20200224,20200224,PIONEER NATURAL RESOURCES CO,0001038357,1231
2558,0001039684-20-000012,10-K,20191231,20200225,20200225,ONEOK INC /NEW/,0001039684,1231
2559,0001041061-20-000015,10-K,20191231,20200220,20200220,YUM BRANDS INC,0001041061,1231
2560,0001047862-20-000041,10-K,20191231,20200220,20200220,CONSOLIDATED EDISON INC,0001047862,1231
2561,0001628280-20-002376,10-K,20191231,20200227,20200227,MARRIOTT INTERNATIONAL INC /MD/,0001048286,1231
2562,0001048695-20-000041,10-K,20200930,20201119,20201119,"F5 NETWORKS, INC.",0001048695,0930
2563,0001051470-20-000077,10-K,20191231,20200310,20200310,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
2564,0001057352-20-000036,10-K,20191231,20200226,20200226,"COSTAR GROUP, INC.",0001057352,1231
2565,0001058290-20-000008,10-K,20191231,20200214,20200214,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,1231
2566,0001558370-20-001135,10-K,20191231,20200221,20200221,SIMON PROPERTY GROUP INC /DE/,0001063761,1231
2567,0001065280-20-000040,10-K,20191231,20200129,20200129,NETFLIX INC,0001065280,1231
2568,0001067701-20-000008,10-K,20191231,20200129,20200129,"UNITED RENTALS, INC.",0001067701,1231
2569,0001069183-20-000016,10-K,20191231,20200228,20200227,"AXON ENTERPRISE, INC.",0001069183,1231
2570,0001564590-20-006404,10-K,20191231,20200225,20200225,"HOST HOTELS & RESORTS, INC.",0001070750,1231
2571,0001075531-20-000011,10-K,20191231,20200226,20200226,Booking Holdings Inc.,0001075531,1231
2572,0001086222-20-000045,10-K,20191231,20200228,20200228,AKAMAI TECHNOLOGIES INC,0001086222,1231
2573,0001090727-20-000005,10-K,20191231,20200220,20200220,UNITED PARCEL SERVICE INC,0001090727,1231
2574,0001090872-20-000020,10-K,20201031,20201218,20201217,"AGILENT TECHNOLOGIES, INC.",0001090872,1031
2575,0001091667-20-000024,10-K,20191231,20200131,20200131,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,1231
2576,0001094285-20-000045,10-K,20191229,20200224,20200221,TELEDYNE TECHNOLOGIES INC,0001094285,1229
2577,0001193125-20-041751,10-K,20191231,20200219,20200219,ON SEMICONDUCTOR CORP,0001097864,1231
2578,0001099800-20-000005,10-K,20191231,20200214,20200214,Edwards Lifesciences Corp,0001099800,1231
2579,0001100682-20-000005,10-K,20191228,20200211,20200211,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",0001100682,1228
2580,0001103982-20-000003,10-K,20191231,20200207,20200207,"Mondelez International, Inc.",0001103982,1231
2581,0001113169-20-000008,10-K,20191231,20200213,20200213,PRICE T ROWE GROUP INC,0001113169,1231
2582,0001120193-20-000004,10-K,20191231,20200225,20200225,"NASDAQ, INC.",0001120193,1231
2583,0001564590-20-005133,10-K,20191228,20200219,20200219,GARMIN LTD,0001121788,1228
2584,0001104659-20-021174,10-K,20191231,20200214,20200214,PRINCIPAL FINANCIAL GROUP INC,0001126328,1231
2585,0001130310-20-000016,10-K,20191231,20200227,20200227,CENTERPOINT ENERGY INC,0001130310,1231
2586,0001133421-20-000006,10-K,20191231,20200130,20200130,NORTHROP GRUMMAN CORP /DE/,0001133421,1231
2587,0001564590-20-008056,10-K,20191231,20200302,20200302,"CBRE GROUP, INC.",0001138118,1231
2588,0001141391-20-000032,10-K,20191231,20200214,20200214,Mastercard Inc,0001141391,1231
2589,0001145197-20-000004,10-K,20191231,20200226,20200225,INSULET CORP,0001145197,1231
2590,0001170010-20-000033,10-K,20200229,20200421,20200421,CARMAX INC,0001170010,0229
2591,0001267238-20-000004,10-K,20191231,20200219,20200219,"ASSURANT, INC.",0001267238,1231
2592,0001274494-20-000011,10-K,20191231,20200221,20200220,"FIRST SOLAR, INC.",0001274494,1231
2593,0001281761-20-000010,10-K,20191231,20200221,20200221,REGIONS FINANCIAL CORP,0001281761,1231
2594,0001283699-20-000026,10-K,20191231,20200206,20200206,"T-Mobile US, Inc.",0001283699,1231
2595,0001193125-20-042675,10-K,20191229,20200220,20200220,DOMINOS PIZZA INC,0001286681,1229
2596,0001628280-20-002202,10-K,20191231,20200225,20200225,Extra Space Storage Inc.,0001289490,1231
2597,0001306830-20-000018,10-K,20191231,20200206,20200206,Celanese Corp,0001306830,1231
2598,0001564590-20-005717,10-K,20191231,20200221,20200221,"Builders FirstSource, Inc.",0001316835,1231
2599,0001324424-20-000009,10-K,20191231,20200214,20200213,"Expedia Group, Inc.",0001324424,1231
2600,0001326801-20-000013,10-K,20191231,20200130,20200129,Facebook Inc,0001326801,1231
2601,0001336920-20-000023,10-K,20200103,20200218,20200218,"Leidos Holdings, Inc.",0001336920,0103
2602,0001564590-20-030125,10-K,20200531,20200622,20200622,ORACLE CORP,0001341439,0531
2603,0001352010-20-000012,10-K,20191231,20200302,20200228,"EPAM Systems, Inc.",0001352010,1231
2604,0001370637-20-000046,10-K,20191231,20200227,20200226,ETSY INC,0001370637,1231
2605,0001558370-20-001127,10-K,20191231,20200221,20200221,"Cboe Global Markets, Inc.",0001374310,1231
2606,0001564590-20-005592,10-K,20191231,20200220,20200220,Targa Resources Corp.,0001389170,1231
2607,0001393612-20-000009,10-K,20191231,20200226,20200226,Discover Financial Services,0001393612,1231
2608,0001402057-20-000042,10-K,20191231,20200228,20200228,CDW Corp,0001402057,1231
2609,0001564590-20-004992,10-K,20191231,20200218,20200218,MSCI Inc.,0001408198,1231
2610,0001413329-20-000007,10-K,20191231,20200207,20200207,Philip Morris International Inc.,0001413329,1231
2611,0001413447-20-000009,10-K,20191231,20200227,20200227,NXP Semiconductors N.V.,0001413447,1231
2612,0001442145-20-000012,10-K,20191231,20200218,20200218,"Verisk Analytics, Inc.",0001442145,1231
2613,0001463101-20-000021,10-K,20191231,20200221,20200221,"Enphase Energy, Inc.",0001463101,1231
2614,0001466258-20-000064,10-K,20191231,20200218,20200218,Ingersoll-Rand plc,0001466258,1231
2615,0001467373-20-000376,10-K,20200831,20201022,20201022,Accenture plc,0001467373,0831
2616,0001437749-20-003516,10-K,20191231,20200225,20200225,GENERAC HOLDINGS INC.,0001474735,1231
2617,0001564590-20-004901,10-K,20191231,20200218,20200218,IQVIA HOLDINGS INC.,0001478242,1231
2618,0001489393-20-000009,10-K,20191231,20200220,20200220,LyondellBasell Industries N.V.,0001489393,1231
2619,0001506307-20-000022,10-K,20191231,20200212,20200211,"KINDER MORGAN, INC.",0001506307,1231
2620,0001510295-20-000006,10-K,20191231,20200228,20200228,Marathon Petroleum Corp,0001510295,1231
2621,0001558370-20-001661,10-K,20191231,20200227,20200227,Norwegian Cruise Line Holdings Ltd.,0001513761,1231
2622,0001555280-20-000054,10-K,20191231,20200213,20200213,Zoetis Inc.,0001555280,1231
2623,0001571949-20-000003,10-K,20191231,20200206,20200206,"Intercontinental Exchange, Inc.",0001571949,1231
2624,0001585689-20-000013,10-K,20191231,20200211,20200211,Hilton Worldwide Holdings Inc.,0001585689,1231
2625,0001564590-20-007599,10-K,20191231,20200228,20200227,"Eldorado Resorts, Inc.",0001590895,1231
2626,0001564590-20-004636,10-K,20191231,20200213,20200213,"Paycom Software, Inc.",0001590955,1231
2627,0001596532-20-000024,10-K,20191231,20200214,20200213,"Arista Networks, Inc.",0001596532,1231
2628,0001601046-20-000154,10-K,20201031,20201217,20201217,"Keysight Technologies, Inc.",0001601046,1031
2629,0001613103-20-000021,10-K,20200424,20200619,20200619,Medtronic plc,0001613103,0424
2630,0001618921-20-000082,10-K,20200831,20201015,20201015,"Walgreens Boots Alliance, Inc.",0001618921,0831
2631,0001637459-20-000027,10-K,20191228,20200214,20200214,Kraft Heinz Co,0001637459,1228
2632,0001645590-20-000056,10-K,20201031,20201210,20201210,Hewlett Packard Enterprise Co,0001645590,1031
2633,0001682852-20-000006,10-K,20191231,20200227,20200227,"Moderna, Inc.",0001682852,1231
2634,0001564590-20-007850,10-K,20191231,20200228,20200228,Ceridian HCM Holding Inc.,0001725057,1231
2635,0001564590-20-054816,10-K,20200930,20201123,20201120,WestRock Co,0001732845,0930
2636,0001739940-20-000006,10-K,20191231,20200227,20200227,Cigna Corp,0001739940,1231
2637,0000004281-21-000049,10-K,20201231,20210216,20210216,Howmet Aerospace Inc.,0000004281,1231
2638,0001628280-21-003531,10-K,20201231,20210301,20210301,HESS CORP,0000004447,1231
2639,0000004977-21-000047,10-K,20201231,20210223,20210223,AFLAC INC,0000004977,1231
2640,0000006951-21-000043,10-K,20211031,20211217,20211217,APPLIED MATERIALS INC /DE,0000006951,1031
2641,0000007084-21-000008,10-K,20201231,20210218,20210218,Archer-Daniels-Midland Co,0000007084,1231
2642,0000008670-21-000027,10-K,20210630,20210804,20210804,AUTOMATIC DATA PROCESSING INC,0000008670,0630
2643,0001558370-21-001121,10-K,20201231,20210217,20210217,BALL Corp,0000009389,1231
2644,0001628280-21-001867,10-K,20201231,20210211,20210211,BAXTER INTERNATIONAL INC,0000010456,1231
2645,0000012927-21-000011,10-K,20201231,20210201,20210201,BOEING CO,0000012927,1231
2646,0000016732-21-000103,10-K,20210801,20210923,20210923,CAMPBELL SOUP CO,0000016732,0802
2647,0000016918-21-000060,10-K,20210228,20210420,20210420,"CONSTELLATION BRANDS, INC.",0000016918,0228
2648,0000018230-21-000063,10-K,20201231,20210217,20210217,CATERPILLAR INC,0000018230,1231
2649,0000020286-21-000013,10-K,20201231,20210225,20210225,CINCINNATI FINANCIAL CORP,0000020286,1231
2650,0001562762-21-000023,10-K,20201231,20210212,20210212,CORNING INC /NY,0000024741,1231
2651,0000027419-21-000010,10-K,20210130,20210310,20210310,TARGET CORP,0000027419,0201
2652,0001558370-21-001916,10-K,20201231,20210226,20210226,ECOLAB INC.,0000031462,1231
2653,0000031791-21-000003,10-K,20210103,20210302,20210302,PERKINELMER INC,0000031791,1229
2654,0000033213-21-000006,10-K,20201231,20210217,20210217,EQT Corp,0000033213,1231
2655,0001564590-21-007188,10-K,20201231,20210222,20210222,M&T BANK CORP,0000036270,1231
2656,0000038777-21-000205,10-K,20210930,20211119,20211119,FRANKLIN RESOURCES INC,0000038777,0930
2657,0001193125-21-204830,10-K,20210530,20210630,20210630,GENERAL MILLS INC,0000040704,0531
2658,0000046080-21-000035,10-K,20201227,20210224,20210224,"HASBRO, INC.",0000046080,1227
2659,0000047111-21-000007,10-K,20201231,20210217,20210217,HERSHEY CO,0000047111,1231
2660,0000047217-21-000060,10-K,20211031,20211209,20211209,HP INC,0000047217,1031
2661,0000048465-21-000067,10-K,20211031,20211210,20211210,HORMEL FOODS CORP /DE/,0000048465,1031
2662,0000049196-21-000018,10-K,20201231,20210226,20210226,HUNTINGTON BANCSHARES INC/MD,0000049196,1231
2663,0000052988-21-000065,10-K,20211001,20211123,20211123,JACOBS ENGINEERING GROUP INC /DE/,0000052988,1001
2664,0000059478-21-000083,10-K,20201231,20210217,20210217,ELI LILLY & Co,0000059478,1231
2665,0001140361-21-003906,10-K,20201231,20210209,20210209,LOEWS CORP,0000060086,1231
2666,0000060667-21-000026,10-K,20210129,20210322,20210322,LOWES COMPANIES INC,0000060667,0129
2667,0000062709-21-000008,10-K,20201231,20210217,20210217,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,1231
2668,0000064040-21-000063,10-K,20201231,20210209,20210209,S&P Global Inc.,0000064040,1231
2669,0000064803-21-000011,10-K,20201231,20210216,20210216,CVS HEALTH Corp,0000064803,1231
2670,0000065984-21-000096,10-K,20201231,20210226,20210226,ENTERGY CORP /DE/,0000065984,1231
2671,0001558370-21-000737,10-K,20201231,20210204,20210204,3M CO,0000066740,1231
2672,0000068505-21-000008,10-K,20201231,20210212,20210212,"Motorola Solutions, Inc.",0000068505,1231
2673,0000072331-21-000079,10-K,20211031,20211217,20211217,NORDSON CORP,0000072331,1031
2674,0000074208-21-000025,10-K,20201231,20210218,20210218,"UDR, Inc.",0000074208,1231
2675,0001564590-21-008051,10-K,20201231,20210224,20210224,PACKAGING CORP OF AMERICA,0000075677,1231
2676,0000079879-21-000008,10-K,20201231,20210218,20210218,PPG INDUSTRIES INC,0000079879,1231
2677,0000080424-21-000100,10-K,20210630,20210806,20210806,PROCTER & GAMBLE Co,0000080424,0630
2678,0001171200-21-000076,10-K,20201231,20210226,20210226,ROLLINS INC,0000084839,1231
2679,0000091419-21-000048,10-K,20210430,20210617,20210617,J M SMUCKER Co,0000091419,0430
2680,0000091440-21-000005,10-K,20210102,20210211,20210211,Snap-on Inc,0000091440,0102
2681,0000092380-21-000033,10-K,20201231,20210208,20210208,SOUTHWEST AIRLINES CO,0000092380,1231
2682,0001193125-21-050735,10-K,20201231,20210222,20210222,"TERADYNE, INC",0000097210,1231
2683,0000097745-21-000011,10-K,20201231,20210225,20210224,THERMO FISHER SCIENTIFIC INC.,0000097745,1231
2684,0000101778-21-000018,10-K,20201231,20210223,20210223,MARATHON OIL CORP,0000101778,1231
2685,0000106040-21-000040,10-K,20210702,20210827,20210826,WESTERN DIGITAL CORP,0000106040,0703
2686,0000107263-21-000006,10-K,20201231,20210224,20210224,"WILLIAMS COMPANIES, INC.",0000107263,1231
2687,0000200406-21-000008,10-K,20210103,20210222,20210222,JOHNSON & JOHNSON,0000200406,0103
2688,0000217346-21-000019,10-K,20210102,20210219,20210219,TEXTRON INC,0000217346,0102
2689,0000277135-21-000007,10-K,20201231,20210224,20210224,"W.W. GRAINGER, INC.",0000277135,1231
2690,0000277948-21-000014,10-K,20201231,20210210,20210210,CSX CORP,0000277948,1231
2691,0000310158-21-000004,10-K,20201231,20210225,20210225,"Merck & Co., Inc.",0000310158,1231
2692,0000315213-21-000025,10-K,20201231,20210212,20210212,ROBERT HALF INTERNATIONAL INC.,0000315213,1231
2693,0001628280-21-002574,10-K,20201231,20210219,20210219,Aon plc,0000315293,1231
2694,0000316709-21-000012,10-K,20201231,20210224,20210224,SCHWAB CHARLES CORP,0000316709,1231
2695,0000318154-21-000010,10-K,20201231,20210209,20210208,AMGEN INC,0000318154,1231
2696,0000320193-21-000105,10-K,20210925,20211029,20211028,Apple Inc.,0000320193,0925
2697,0001564590-21-004555,10-K,20201231,20210208,20210205,Arthur J. Gallagher & Co.,0000354190,1231
2698,0000354950-21-000089,10-K,20210131,20210324,20210324,"HOME DEPOT, INC.",0000354950,0131
2699,0000707549-21-000136,10-K,20210627,20210817,20210817,LAM RESEARCH CORP,0000707549,0627
2700,0000711404-21-000038,10-K,20211031,20211210,20211210,"COOPER COMPANIES, INC.",0000711404,1031
2701,0000712515-21-000064,10-K,20210331,20210526,20210526,ELECTRONIC ARTS INC.,0000712515,0331
2702,0001564590-21-008442,10-K,20201231,20210225,20210225,"DOMINION ENERGY, INC",0000715957,1231
2703,0000723254-21-000021,10-K,20210531,20210728,20210728,CINTAS CORP,0000723254,0531
2704,0000723531-21-000035,10-K,20210531,20210716,20210716,PAYCHEX INC,0000723531,0531
2705,0000726728-21-000043,10-K,20201231,20210223,20210223,REALTY INCOME CORP,0000726728,1231
2706,0000740260-21-000048,10-K,20201231,20210223,20210223,"Ventas, Inc.",0000740260,1231
2707,0001564590-21-006925,10-K,20201231,20210219,20210219,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,0000746515,1231
2708,0000764180-21-000037,10-K,20201231,20210226,20210226,"ALTRIA GROUP, INC.",0000764180,1231
2709,0000764478-21-000024,10-K,20210130,20210319,20210319,BEST BUY CO INC,0000764478,0130
2710,0000769397-21-000014,10-K,20210131,20210319,20210319,"Autodesk, Inc.",0000769397,0131
2711,0000788784-21-000007,10-K,20201231,20210301,20210226,PUBLIC SERVICE ENTERPRISE GROUP INC,0000788784,1231
